href,location,street,area,bedrooms,bathrooms,parking,price,fees,id_imovel
https://www.zapimoveis.com.br/imovel/venda-cobertura-3-quartos-com-piscina-cambui-campinas-sp-320m2-id-2799735741/?source=ranking%2Crp,"Cobertura para alugar com 320 m², 3 quartos, 6 banheiros, 4 vagas em
Cambuí, Campinas",Rua Laís Bertoni Pereira,"Tamanho do imóvel
320 m²","Quantidade de quartos
3","Quantidade de banheiros
6","Quantidade de vagas de garagem
4",R$ 10.000/mês,Cond. R$ 4.400 • IPTU R$ 750,2799735741
https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-brooklin-zona-sul-sao-paulo-sp-579m2-id-2806754269/?source=ranking%2Crp,"Sala/Conjunto para comprar com 579 m², 10 banheiros, 12 vagas em
Vila Almeida, São Paulo",Avenida das Nações Unidas,"Tamanho do imóvel
579 m²",,"Quantidade de banheiros
10","Quantidade de vagas de garagem
12",A partir de R$ 8.000.001,Cond. a partir de R$ 12.000 • IPTU R$ 8.000,2806754269
https://www.zapimoveis.com.br/imovel/venda-apartamento-1-quarto-com-piscina-jardim-ampliacao-zona-sul-sao-paulo-sp-40m2-id-2865144565/?source=ranking%2Crp,"Apartamento para alugar com 40 m², 1 quarto, 1 banheiro, 1 vaga em
Jardim Ampliação, São Paulo",Rua Frederico Guarinon,"Tamanho do imóvel
40 m²","Quantidade de quartos
1","Quantidade de banheiros
1","Quantidade de vagas de garagem
1",R$ 980/mês,Cond. R$ 829 • IPTU R$ 188,2865144565
https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-piscina-jardim-dom-jose-sao-paulo-45m2-id-2848692531/?source=ranking%2Crp,"Apartamento para alugar com 45 m², 2 quartos, 1 banheiro, 1 vaga em
Jardim Dom José, São Paulo",Rua Luís de Oliveira,"Tamanho do imóvel
45 m²","Quantidade de quartos
2","Quantidade de banheiros
1","Quantidade de vagas de garagem
1",R$ 1.800/mês,,2848692531
https://www.zapimoveis.com.br/imovel/venda-sobrados-3-quartos-com-quintal-vila-ivone-sao-paulo-200m2-id-2865248974/?source=ranking%2Crp,"Sobrado para alugar com 200 m², 3 quartos, 4 banheiros, 6 vagas em
Vila Ivone, São Paulo",Rua Ângelo Agostini,"Tamanho do imóvel
200 m²","Quantidade de quartos
3","Quantidade de banheiros
4","Quantidade de vagas de garagem
6",R$ 4.000/mês,,2865248974
https://www.zapimoveis.com.br/imovel/aluguel-loja-salao-com-porcelanato-centro-campos-dos-goytacazes-179m2-id-2865561309/?source=ranking%2Crp,"Ponto comercial/Loja/Box para alugar com 179 m², 3 banheiros em
Centro, Campos dos Goytacazes","","Tamanho do imóvel
179 m²",,"Quantidade de banheiros
3",,R$ 6.000/mês,IPTU R$ 369,2865561309
https://www.zapimoveis.com.br/imovel/venda-conjunto-comercial-sala-com-interfone-jardim-das-acacias-sao-paulo-406m2-id-2729722462/?source=ranking%2Crp,"Sala/Conjunto para alugar com 406 m², 12 banheiros, 12 vagas em
Jardim das Acácias, São Paulo",Avenida Roque Petroni Júnior,"Tamanho do imóvel
406 m²",,"Quantidade de banheiros
12","Quantidade de vagas de garagem
12",R$ 37.000/mês,Cond. R$ 10.077 • IPTU R$ 6.800,2729722462
https://www.zapimoveis.com.br/imovel/aluguel-casa-3-quartos-com-churrasqueira-cibratel-ii-itanhaem-75m2-id-2868057300/?source=ranking%2Crp,"Casa para alugar com 75 m², 3 quartos, 1 banheiro, 3 vagas em
Cibratel II, Itanhaém",Rua Espirito Santo,"Tamanho do imóvel
75 m²","Quantidade de quartos
3","Quantidade de banheiros
1","Quantidade de vagas de garagem
3",R$ 2.300/mês,,2868057300
https://www.zapimoveis.com.br/imovel/aluguel-terreno-lote-condominio-parque-santos-dumont-votorantim-1800m2-id-2743480119/?source=ranking%2Crp,"Lote/Terreno para alugar com 1800 m² em
Parque Santos Dumont, Votorantim","","Tamanho do imóvel
1800 m²",,,,R$ 6.500/mês,IPTU R$ 400,2743480119
https://www.zapimoveis.com.br/imovel/aluguel-loja-salao-com-lavabo-horto-campos-dos-goytacazes-120m2-id-2865562277/?source=ranking%2Crp,"Ponto comercial/Loja/Box para alugar com 120 m², 3 banheiros, 6 vagas em
Horto, Campos dos Goytacazes","","Tamanho do imóvel
120 m²",,"Quantidade de banheiros
3","Quantidade de vagas de garagem
6",R$ 5.500/mês,,2865562277
